"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 19:36:19 MSK 2022","Fri Feb 18 19:36:19 MSK 2022","303","","Testing and verifying of ""Browser Windows"" and ""Modal Dialogs"" modules on ""Alerts, Frame & Windows"" page: 2. As a user, I can click ""Modal Dialogs"" button","","Testing and verifying of ""Browser Windows"" and ""Modal Dialogs"" modules on ""Alerts, Frame & Windows"" page: 2. As a user, I can click ""Modal Dialogs"" button","And I click large modal's ""Close"" button","And I click large modal's ""Close"" button",""
"passed","Fri Feb 18 19:36:52 MSK 2022","Fri Feb 18 19:36:52 MSK 2022","87","","Testing and verifying of ""Tabs"" and ""Menu"" modules on ""Widgets"" page: 3. As a user, I can click ""Menu"" button","","Testing and verifying of ""Tabs"" and ""Menu"" modules on ""Widgets"" page: 3. As a user, I can click ""Menu"" button","When I click ""Menu"" button","When I click ""Menu"" button",""
"passed","Fri Feb 18 19:36:29 MSK 2022","Fri Feb 18 19:36:31 MSK 2022","1587","","Testing and verifying main fuctualities of start page: 1. As a user, I can click any clicable item on start page and verify that is working","","Testing and verifying main fuctualities of start page: 1. As a user, I can click any clicable item on start page and verify that is working","Then I should see the ""Alerts, Frame & Windows"" page opened","Then I should see the ""Alerts, Frame & Windows"" page opened",""
"passed","Fri Feb 18 19:36:51 MSK 2022","Fri Feb 18 19:36:51 MSK 2022","36","","Testing and verifying of ""Sortable"" tab items in ""Interactions"" module: 3. As a user, I can check the functionality of ""Grid"" tab elements","","Testing and verifying of ""Sortable"" tab items in ""Interactions"" module: 3. As a user, I can check the functionality of ""Grid"" tab elements","And I should see ""Two"" and ""Three"" moved one step to left","And I should see ""Two"" and ""Three"" moved one step to left",""
"passed","Fri Feb 18 19:36:29 MSK 2022","Fri Feb 18 19:36:29 MSK 2022","328","","Testing and verifying main fuctualities of start page: 1. As a user, I can click any clicable item on start page and verify that is working","","Testing and verifying main fuctualities of start page: 1. As a user, I can click any clicable item on start page and verify that is working","When I click ""Alerts, Frame & Windows"" button","When I click ""Alerts, Frame & Windows"" button",""
"passed","Fri Feb 18 19:36:24 MSK 2022","Fri Feb 18 19:36:24 MSK 2022","69","","Testing and verifying ""Text Box"" and ""Buttons"" of Element’s module: 2. As a user, I can click ""Buttons"" button","","Testing and verifying ""Text Box"" and ""Buttons"" of Element’s module: 2. As a user, I can click ""Buttons"" button","Then I should see message ""You have done a right click""","Then I should see message ""You have done a right click""",""
"passed","Fri Feb 18 19:36:17 MSK 2022","Fri Feb 18 19:36:18 MSK 2022","1057","","Testing and verifying of ""Browser Windows"" and ""Modal Dialogs"" modules on ""Alerts, Frame & Windows"" page: 2. As a user, I can click ""Modal Dialogs"" button","","Testing and verifying of ""Browser Windows"" and ""Modal Dialogs"" modules on ""Alerts, Frame & Windows"" page: 2. As a user, I can click ""Modal Dialogs"" button","And I should see small modal dissapeared","And I should see small modal dissapeared",""
"passed","Fri Feb 18 19:36:52 MSK 2022","Fri Feb 18 19:36:52 MSK 2022","0","","Testing and verifying of ""Tabs"" and ""Menu"" modules on ""Widgets"" page: 3. As a user, I can click ""Menu"" button","","Testing and verifying of ""Tabs"" and ""Menu"" modules on ""Widgets"" page: 3. As a user, I can click ""Menu"" button","","",""
"passed","Fri Feb 18 19:36:33 MSK 2022","Fri Feb 18 19:36:33 MSK 2022","364","","Testing and verifying main fuctualities of start page: 1. As a user, I can click any clicable item on start page and verify that is working","","Testing and verifying main fuctualities of start page: 1. As a user, I can click any clicable item on start page and verify that is working","When I click ""Interactions"" button","When I click ""Interactions"" button",""
"passed","Fri Feb 18 19:36:04 MSK 2022","Fri Feb 18 19:36:17 MSK 2022","13339","","Testing and verifying of filling and submitting the form of ""Forms"" module: 1. As a user, I can correct fill and submit the form","","Testing and verifying of filling and submitting the form of ""Forms"" module: 1. As a user, I can correct fill and submit the form","Given I am on Forms module page","Given I am on Forms module page",""
"passed","Fri Feb 18 19:36:04 MSK 2022","Fri Feb 18 19:36:12 MSK 2022","8224","","Testing and verifying ""Text Box"" and ""Buttons"" of Element’s module: 1. As a user, I can click ""Text Box"" button","","Testing and verifying ""Text Box"" and ""Buttons"" of Element’s module: 1. As a user, I can click ""Text Box"" button","Given I am on Element’s module page","Given I am on Element’s module page",""
